date,fajar ,zuhr,asr,maghrib,Isha ,sun_rise,chaast ,  zawal,jummua ,ijtimah
01/08/2024,8:30:00,9:30:00,10:30:00,11:30:00,12:30:00,13:30:00,14:30:00,15:30:00,16:30:00,15:30:00
02/08/2024,9:30:00,10:30:00,11:30:00,12:30:00,13:30:00,14:30:00,15:30:00,16:30:00,17:30:00,16:30:00
03/08/2024,10:30:00,11:30:00,12:30:00,13:30:00,14:30:00,15:30:00,16:30:00,17:30:00,18:30:00,17:30:00
04/08/2024,11:30:00,12:30:00,13:30:00,14:30:00,15:30:00,16:30:00,17:30:00,18:30:00,19:30:00,18:30:00
05/08/2024,12:30:00,13:30:00,14:30:00,15:30:00,16:30:00,17:30:00,18:30:00,19:30:00,20:30:00,19:30:00
06/08/2024,13:30:00,14:30:00,15:30:00,16:30:00,17:30:00,18:30:00,19:30:00,20:30:00,21:30:00,20:30:00
07/08/2024,14:30:00,15:30:00,16:30:00,17:30:00,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,21:30:00
08/08/2024,15:30:00,16:30:00,17:30:00,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,22:30:00
09/08/2024,16:30:00,17:30:00,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,23:30:00
10/08/2024,17:30:00,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,0:30:00
11/08/2024,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00
12/08/2024,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00
13/08/2024,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00
14/08/2024,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00
15/08/2024,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00
16/08/2024,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00
17/08/2024,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00
18/08/2024,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00
19/08/2024,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00
20/08/2024,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00
21/08/2024,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00
22/08/2024,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00
23/08/2024,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00
24/08/2024,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00
25/08/2024,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00
26/08/2024,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00
27/08/2024,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00
28/08/2024,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00
29/08/2024,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00
30/08/2024,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00
31/08/2024,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00
