date,fajar _start,fajar,zuhr_start,zuhr,asar_start,asar,maghrib_start,  maghrib,isha_start ,isha,sun_rise,chaast,zawal,jummua,ijtimah
1/2/2024,8:30:00,9:30:00,10:30:00,11:30:00,12:30:00,13:30:00,14:30:00,15:30:00,16:30:00,15:30:00,15:30:00,3:30:00,12:10:00,9:00:00,5:30:00
2/2/2024,9:30:00,10:30:00,11:30:00,12:30:00,13:30:00,14:30:00,15:30:00,16:30:00,17:30:00,16:30:00,16:30:00,4:30:00,13:10:00,10:00:00,6:30:00
3/2/2024,10:30:00,11:30:00,12:30:00,13:30:00,14:30:00,15:30:00,16:30:00,17:30:00,18:30:00,17:30:00,17:30:00,5:30:00,14:10:00,11:00:00,7:30:00
4/2/2024,11:30:00,12:30:00,13:30:00,14:30:00,15:30:00,16:30:00,17:30:00,18:30:00,19:30:00,18:30:00,18:30:00,6:30:00,15:10:00,12:00:00,8:30:00
5/2/2024,12:30:00,13:30:00,14:30:00,15:30:00,16:30:00,17:30:00,18:30:00,19:30:00,20:30:00,19:30:00,19:30:00,7:30:00,16:10:00,13:00:00,9:30:00
6/2/2024,13:30:00,14:30:00,15:30:00,16:30:00,17:30:00,18:30:00,19:30:00,20:30:00,21:30:00,20:30:00,20:30:00,8:30:00,17:10:00,14:00:00,10:30:00
7/2/2024,14:30:00,15:30:00,16:30:00,17:30:00,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,21:30:00,21:30:00,9:30:00,18:10:00,15:00:00,11:30:00
8/2/2024,15:30:00,16:30:00,17:30:00,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,22:30:00,22:30:00,10:30:00,19:10:00,16:00:00,12:30:00
9/2/2024,16:30:00,17:30:00,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,23:30:00,23:30:00,11:30:00,20:10:00,17:00:00,13:30:00
10/2/2024,17:30:00,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,0:30:00,0:30:00,12:30:00,21:10:00,18:00:00,14:30:00
