date,fajar ,zuhr,asr,maghrib,Isha ,sun_rise,chaast ,  zawal,jummua ,ijtimah
1/1/2024,5:30:00,1:30:00,10:30:00,11:30:00,12:30:00,13:30:00,14:30:00,15:30:00,16:30:00,15:30:00
2/1/2024,5:30:00,1:30:00,11:30:00,12:30:00,13:30:00,14:30:00,15:30:00,16:30:00,17:30:00,16:30:00
3/1/2024,5:30:00,1:30:00,12:30:00,13:30:00,14:30:00,15:30:00,16:30:00,17:30:00,18:30:00,17:30:00
4/1/2024,5:30:00,1:30:00,13:30:00,14:30:00,15:30:00,16:30:00,17:30:00,18:30:00,19:30:00,18:30:00
5/1/2024,5:30:00,1:30:00,14:30:00,15:30:00,16:30:00,17:30:00,18:30:00,19:30:00,20:30:00,19:30:00
6/1/2024,5:30:00,1:30:00,15:30:00,16:30:00,17:30:00,18:30:00,19:30:00,20:30:00,21:30:00,20:30:00
7/1/2024,5:30:00,1:30:00,16:30:00,17:30:00,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,21:30:00
8/1/2024,5:30:00,1:30:00,17:30:00,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,22:30:00
9/1/2024,5:30:00,1:30:00,18:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,23:30:00
10/1/2024,5:30:00,1:30:00,19:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,0:30:00
11/1/2024,5:30:00,1:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00
12/1/2024,5:30:00,1:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00
13/01/2024,5:30:00,1:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00
14/01/2024,5:30:00,1:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00
15/01/2024,5:30:00,1:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00
16/01/2024,5:30:00,1:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00
17/01/2024,5:30:00,1:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00
18/01/2024,5:30:00,1:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00
19/01/2024,5:30:00,1:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00
20/01/2024,5:30:00,1:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00
21/01/2024,5:30:00,1:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00
22/01/2024,5:30:00,1:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00
23/01/2024,5:30:00,1:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00
24/01/2024,5:30:00,1:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00
25/01/2024,5:30:00,1:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00
26/01/2024,5:30:00,1:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00
27/01/2024,5:30:00,1:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00
28/01/2024,5:30:00,1:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00
29/01/2024,5:30:00,1:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00
30/01/2024,5:30:00,1:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00
31/01/2024,5:30:00,1:30:00,20:30:00,21:30:00,22:30:00,23:30:00,0:30:00,1:30:00,2:30:00,1:30:00
